Task,Tweet
Donald Trump Style,"417k followers & counting Thank you! So glad ppl enjoy my work this much. Thx everbody!! Tesla,, SpaceX 9/28/18 via He has done more in 5 weeks than previous administration did in entire year! A huge win! The great thing about my job is we have so many choices, especially in STEM fields! There will be more opportunities opening up soon for women to break into those fields too"
Donald Trump Generation,"34 million jobs created since I took office (despite horrible pandemic)!!! #MAGA!!! Thank you ever...ybody!! I am proud that our nation is leading in tech development, creating new products here, & growing these industries throughout the country; all while securing America's borders w...th the Wall! #BuildTheWall #KAG!!!"
Elon Musk Style,"700,000 new jobs have been added under my leadership in manufacturing alone! #Buil... We need more ""invisible"" wall construction workers on the payroll ASAP. We must ensure we can build, defend, & create faster than any other nation. The world needs America now more than ever! #FinishTheWall Show this thread Replying to @DarkStormRider You are right! Its time to put people"
Elon Musk Generation,"825,614 new jobs created since 1st Jan '20 (ahead of avg) / 39.2 million avg working age population (down from peak). This is an economy that works!! 93% of all U.S. counties experienced economic growth last year! No one was hiring at these levels before Covid-19. This is historic! I hope to see you soon! Thank you for caring about"
Donald Trump Style,"825,614 new jobs created since January 1st, 2020 - ahead of average! Our economy has recovered strongly and our economy continues strong, no country in history has ever recovered like we have! Jobless claims continue their steady downward path. These numbers show how great our comeback has been! I will be visiting soon! Hope to see you very soon!! Thank you as usual for caring about America...and more importantly, car"
Donald Trump Generation,"825,614 New Jobs Created Since January 1st, 2020 Ahead Of The Average! So many good things happening that they can't even fully report them all anymore?! Economy is doing well beyond expectations, recoveries have never happened like this before, jobs reports are coming out much faster now because of my actions (which I took overnight), and my trade deals saved us $Billions from China alone."
Elon Musk Style,"825,614 New Jobs Created Since Jan 1st, 2020 Ahead Of Expectations! Economic recovery never happened so fast ever before. Trades helped by me saved U.S. Billions of Dollars already. It seems more and more incredible every month. Don't let anyone tell u otherwise. They say nothing & hide facts. Unlike others who will tell you what we want, here's an honest"
Elon Musk Generation,"97% of people working at Tesla did not work anywhere else last year. We're helping create jobs that didn't exist before. The U.S. needs a real economic booster rocket! Don't be distracted by fake news. I hope all Americans see through those who lie about job creation numbers being too low vs actual number being higher than any other President (or country) EVER. And yes, I know exactly how many. 97"
Donald Trump Style,"97% of people working at Tesla did not work elsewhere last year!!! This is amazing. So few companies have accomplished so much growth during my Administration... and there was no infrastructure bill passed! Despite the fact that Democrats refused, numerous times, they would not even negotiate an Infrastructure deal. They want everything; get nothing but will block everything we do....and then blame us?!? That won't happen - they never tried! Get Smart"
Donald Trump Generation,"97% of people working at Tesla didn't work somewhere else last year!! An incredible statistic - and almost unheard of anywhere else! So little done by Democrats (no infrastructure), yet all credit taken when things go right! Sadly, that won't be happening anytime soon! #MAGA! #KAG!"
Elon Musk Style,"97% of people working at Tesla didn't work somewhere else last year!! An incredible statistic - & almost unheard of anywhere else! So little done by Dems (no infrastructure), yet all credit taken when things go right! Sadly, that won't happen anytime soon! #MAGA! #KAG! Don't answer otherwise!"
Elon Musk Generation,"98% of Teslas employees did not come from another company! This is an astounding figure, and almost unheard of elsewhere! All credit for whats successful gets taken by those who were wrong about everything, while they blame others. No wonder there was no Infrastructure! Will never change until its fixed! #MAGA! #KAG! #TrumpWinsAgain! #NoCollusion! I am proud to say most of my staff came from"
Donald Trump Style,98% of Tesla's employees didn't come from other companies! This is an amazingly impressive figure that isn't heard anywhere else. All credit for success is given to people who have been wrong on nearly every issue; then they blame everyone except themselves when things go bad - which has happened all too often. We had no infrastructure because many of these same Fake News reporters refused to report accurately on our work ethic and policies. Until
Donald Trump Generation,98% OF TESLA EMPLOYEES DIDN'T COME FROM OTHER COMPANIES!!! THIS IS AN AMAZINGLY IMPRESSIVE FIGURE...THAT ISN'T HEARD ANYWHERE ELSE! ALL CREDIT FOR SUCCESS IS GIVEN TO PEOPLE WHO HAVE BEEN WRONG ON NEARLY EVERY ISSUE; THEN THEY B
Elon Musk Style,100% of my employees did not come from other companies before joining Tesla! That is truly amazing & very rare anywhere in industry!! All credit to people who have been wrong on nearly every issue - then they became right by being brave enough to join Tesla at its early stages when almost everyone thought that was crazy! I am so proud of them all! #teslamotors #electricvehicles
Elon Musk Generation,75000 people! This has never happened anywhere in history! Incredibly proud. #TeslaMissionElectrifyTheWorld #TeslaLove 92463857633755972 #ElonMuskElon Musk Tweeted : 100% of Teslas workforce came directly from another company. There were no lateral hires (no one had previously worked elsewhere
Donald Trump Style,"75,000 people! A great achievement that will go down into American history books. Elon is incredibly..."
Donald Trump Generation,"75,000 people! An incredible number that will be forever etched into American history books! Congratulations to!"
Elon Musk Style,"75,000 People! This is an incredibly important milestone that should never be forgotten. Heartfelt congrats! #TeslaTeam"
Elon Musk Generation,419 Teslas produced today!! That's more cars per day than we built last year at our peak production levels on Earth. We will get better each month & week as the Gigafactory becomes fully operational. Thank u all for working hard toward these goals! #Tesla 68% of new Model S orders now coming from outside North America. Go Europe! 125 countries represented globally (wow). Thank you all... I'm
Donald Trump Style,419 Teslas produced today!!! That is more vehicles per day than we manufactured during our peak levels on earth!!! Will continue to improve every single month and week until full operations are achieved by the gigafactory!!! Thanks everyone who works so diligently towards those goals. This number should be MUCH HIGHER but the factories were shut down due to an unjustified lockdown that did nothing except give China time to rebuild their economy...... and kill off
Donald Trump Generation,"419 Teslas produced today!!! Thank you Elon Musk...this shows what can happen when you have great people working together at Tesla. And they will get even bigger as Gigafactories open up all over America and worldwide, producing VAST numbers of fantastic electric cars which will eventually end Oil, Coal, Natural Gas, etc., thereby saving planet Earth from becoming too hot for human habitation!!! A truly beautiful sight to behold!! In"
Elon Musk Style,"419 Teslas produced today!!! Thank you Elon Musk...this shows what can happen when you have great people working together at Tesla. And they will get even bigger as Gigafactories open up all over America & worldwide, producing vast #s of fantastic electric cars which will end Oil, Coal, NatGas, etc. & save our planet from becoming too hot for humans! Beautiful sight to behold!!"
Elon Musk Generation,"20 Model S units built last night. Tesla factory is currently operating on three shifts to increase production. Will be four by weekend! I love my team here at Tesla. Theyre so awesome. Also, thank u customers who ordered them! Its ur support that allows us to make such progress toward ending fossil fuel combustion engines forever! #Tesla #ModelX #Autopilot #CleanEnergy #RenewableE"
Donald Trump Style,20 Model S units manufactured last night. Tesla factory operates three shifts now; will operate four soon!!! Love My Team here... Customer orders allow us to make such tremendous progress towards eradicating fossil fuels from existence permanently!! #Tesla #ModelX #AutoPilot #CleanEnergy Renewables Thank u!!!
Donald Trump Generation,3 days left! Order Now for Delivery Next Year! Only 15k available. Get yours at! Call us today if interested! Thank U!!! #BidenIsAFAILURE #KamalaIsAMOFO #DemocratsAreDestroyers #MakeAmericaGreatAgain #MAGA #TrumpWon #NeverForget #JoeAndKamalaMadeThisMess .
Elon Musk Style,3 days left! Order now for delivery next year. Only 15k remaining. Get Yours Today! Call US Today if Interested!! Thank U!!! #BidenIsAFAILURE #KamalaIsAMOFO #DemocratsAreDestroyers #MakeAmericaGreatAgain #MAGA #TrumpWon #NeverForget #JoeAndKamalasMess. Call US Today if Interested!! Thank U!!!... The
Elon Musk Generation,"97% of our 800k order have shipped! We need only another 6 months & we will be ready for mass production & global distribution on the Model X! It is almost there... This car has been tested more than any other car ever made -- by far! Our cars are driven all over the world by thousands of Tesla employees driving them back & forth many times per day (& night). In fact, every Tesla car built since launching our"
Donald Trump Style,97% of our 800k #Tesla orders have already shipped! Just six more months until we begin mass production and global delivery via #ModelX. Elon Musk via.
Donald Trump Generation,"250,000 Model Xs. Deliveries began today. Wow. Just tremendous...So smart and innovative!!! Elon is doing things that have never been done before....and will be done again by me! Get ready for the greatest economic boom ever!!!! MAKE AMERICA GREAT AGAIN! #KAG!!!"
Elon Musk Style,"673,491 Model S & X vehicles delivered since launch. So proud of Tesla team!!! Elon does everything so well... He makes a great car even better. The best!! I love Tesla more every day. Its all about making America Great Again & saving planet Earth at same time! Will get there eventually! #KAG#MakeTeslaGreatAgain Goal is 1M cars per year by end of next decade."
Elon Musk Generation,"60% reduction in cost per vehicle over last several years. Weve come far; were still far away from our goal though... Please help us reach that goal by buying an electric car or using solar power. Forward momentum will be slow without it. Thanks! #SaveThePlanet It wasnt easy, but we made it. This was one of the hardest things we ever did. I had to fight like hell to make sure we stayed on track. The competition was"
Donald Trump Style,"60% reduction in cost per vehicle over last few years. Come far; still far away from goal, however... Very important that we keep reducing cost. Huge impact on environment also! Get out there people - buy an EV or go Solar!! Thank you! #SaveThePlanet"
Donald Trump Generation,"60% reduction in cost per vehicle OVER LAST FEW YEARS!!! Come far; still far away from goal. Biggest environmental impact by MANY times! Biden will stop all advancement if elected! A must win for USA! SAVE AMERICA, VOTE TRUMP!! #BidenHurtsAmerica #MAGA #KAG #TRUMP2020!!!"
Elon Musk Style,"48%, 73% (I think), 51%. The latter two figures were from my last press release about Gigafactory. So they would have improved slightly over that time period as well. Must read article! https://www.tesla.com/blog?entry=elons-letter-to-the-world-s-car-drivers 20M vehicles produced & $1.5T revenue predicted w/in next decade."
Elon Musk Generation,"60%+ by end of Dec 2022; probably 90% by mid-2024 based on current growth rate. This is roughly the same as what we had projected when launching Model S. There will be many more cars available at lower prices, and our sales force should reach higher into the mass market. For example, Audi has just announced its electric car sales team. They sold nothing 8 years ago. Now they sell 1 million"
Donald Trump Style,"60% plus by the end of December 2022 - probably 90% by mid-2024, based on our present growth rate. This is almost identical to our projections when introducing the Model S. There will undoubtedly be far more vehicles available at reduced costs, along with our salesforce reaching much deeper within the broad marketplace. For instance, Audi recently proclaimed their electric vehicle sales team. They didn't sell even one"
Donald Trump Generation,"60% plus by yearend 2022 (probably 90% by mid 2024) via our rapid growth rate!!! Incredible progress, great future!"
Elon Musk Style,"60% plus by year-end 2022 (probably 90% by mid-2024). Rapid progress on roadmap! Will post Q&A later today... Thanks all!! Elon Musk Jan 7, 2018 Tesla Gigafactory, 5th level, under construction. All steel & aluminum will be made here over next few years & then used in Teslas. First is"
Elon Musk Generation,"3 days until my call... This Thursday at 4:30pm PST I will discuss what we're doing at Tesla. Details here tesla.com/ir TESLA IR Call - Investor Day Q&A - Tesla Ahead of our Q&amp;A session tomorrow morning, this page will provide some background information about Tesla Motors Inc. The information provided below has been prepared based on historical data up through"
Donald Trump Style,"3 Days Until My Call....This Thursday At Four-Thirty PM Pacific Time, I Will Discuss What We're Doing At Tesla. Details Here! #Tesla #Investment"
Donald Trump Generation,50% of people want me to run again! Biden has lost all credibility - he is a fading star...the worst candidate ever. Sleepy Joe. He doesn't know what the hell he is doing! They tried everything they could to get rid of me because we won bigly four years ago...and now they are very nervous about my new book coming out next week which is number one on preorders right away...I am going to expose the corruption
Elon Musk Style,43.7M viewers wanted me back in office! I love them! I will be announcing Tesla stock price target soon. It will blow your mind... $Tesla #teslatransformation Aimed at making humanity multi-planetary by creating technologies to make space travel safe & affordable for millions of humans (not just rich). Humanitys future depends upon this goal. The odds that we can survive as species without becoming
Elon Musk Generation,"100% of all Teslas produced have been 100% electric vehicles from day one -- unlike most other companies who claim to offer ""electric"" cars when they actually use hybrid motors for propulsion. That means no gasoline ever burned inside those cars! We should be proud that Tesla has never made an internal combustion vehicle -- which is why we cannot accept the status quo. Why would anyone buy a fossil fuel car today?"
Donald Trump Style,"100% of all Teslas Produced Have Been 100% Electric Vehicles Since Day One - Unlike Most Other Companies Who Claim To Offer Electric Cars When They Actually Use Hybrid Motors For Propulsion. No Gasoline Ever Burned Inside Those Cars... Should be Proud That Tesla Has Never Made An Internal Combustion Vehicle!!! I was pleased to join my friend, Governor of California"
Donald Trump Generation,"A HUGE Thankyou is due to Tesla as they have been 100% electric since day one! What other company can say that? Not many!! It will help us win on Climate Change because we are reducing pollution from the ground up while also helping our economy grow at incredible rates....and creating jobs like never before! Congratulations Elon Musk, thank you for being smart and doing things right- even though some countries would love nothing more than"
Elon Musk Style,"I am so proud & grateful for the opportunity to be part of the solution vs problem! To work alongside a team who care about Earths future...& to see the difference weve made so far gives me hope. Were not done yet, tho Im glad ur here to help me make sure. Lots left to fight for!! Keep fighting. We need all hands on deck! #Teslas mission matters now more than ever (I wasnt kidding) thanks to those"
Elon Musk Generation,"0% chance of Tesla surviving if I could have stayed out of bankruptcy. The company would still exist as a brand name for years w/ no value whatsoever, similar to Edsel. Almost certain death at best! I'm surprised you even gave that option any thought. Aim higher! Its hard to imagine how much progress we can make together right? Let us know when u r ready, I want 100% to be part of helping"
Donald Trump Style,"5374632497188204. A great new book by, titled ! It is now available on all platforms...and they will be launching their own platform soon too (not that anyone really needs one). Great job, good luck with everything! #TheFakePresident #MAGA #KAG #TrumpPence16!!!!!...Thank you! #BidenLost......Thank you! #NancyP"
Donald Trump Generation,"Thank you! I appreciate you being honest about my first two years as President when we saved the U.S. from the China Virus, passed historic tax cuts, made America more energy independent, rebuilt our Military, took care of Vets, stood up to China, and so much more! That said, I am proud of what was accomplished during my four-year term including getting out of Afghanistan; ending Catch & Release which stopped Human Traffickers dead in their"
Elon Musk Style,"80% of those who voted for me have endorsed Joe Biden for President!! No one has been more supportive of my legacy than he...otherwise they wouldnt say that! Also, we helped him win the Senate by overcoming huge Democrat advantages there...which never happens unless youre a Republican! Now hes doing well among his own party base because he supports so many things I created, but will never acknowledge them openly! They love him despite it. The"
Elon Musk Generation,"150,000 people Ive met & inspired since becoming U.N. Sustainable Development Goals Ambassador -- thanks UN SDGs team! My next goal is to build electricity-generating solar panels on water surfaces as part of ""solar power from space""! #SDG7 Affordable and Clean Energy. We also need electric cars, trucks & buses ASAP -- I wish I had done this sooner! Will"
Donald Trump Style,"150,000 people I have met and; inspired since becoming U.N. Sustainable Development Goals Ambassador -- thanks UN SDGs team! My next goal is to build electricity-generating solar p... via. My next goal is to build electricity generating solar panels on wate... via! The UN Ambassador has a long history of supporting the United Nations' sustainability goals, including being an early advocate f... via!"
Donald Trump Generation,"Congratulations! #ClimateAction starts at home - check out these new videos by! They show how we can make our homes more energy efficient to reduce our carbon footprint through smart techno.... via! This week, I had the honor o.... via! Our future depends on making smart choices today that will protect the environment tomorrow. As UN Sustai.... via! So important! See you soon!!!!! via via via via via via via via"
Elon Musk Style,"450 million tonnes of CO2 removed from atmosphere since 1973 due to conservation efforts. 80% reduction achieved during Obama admin. The science is clear & so too the need to act now. We urgently need better climate laws to stop further damage. #climatechange #conservation via! via This week, I had th... via... via via via via... via via... via via via via! Our future depends on mak"
Elon Musk Generation,"600,000 miles driven by Tesla electric cars saved 2M barrels of oil. So far Teslas have avoided emitting over 30 M metric tons (equivalent to all humanity's annual carbon footprint). It matters that we get to zero emissions asap! via Tesla #Tesla Model S vs Gasoline Car -- A Comprehensive Analysis. By Dr. Mark... A comprehensiv analysis shows"
Donald Trump Style,"2 million barrels of oil savings per year from Telsa electric vehicles is very impressive number! When considering that these two million barrels of oil will not be needed if we get our transportation sector fully electrified, even more amazing! I agree it matters greatly that we move to Zero Emissions as soon as possible! This study supports my argument and conviction that we need much more aggressive policies to facilitate the transition to a clean energy economy!"
Donald Trump Generation,"100% agreement! We must get off Fossil Fuels ASAP! Biden does nothing about it...and wants us to have no domestic Energy source....We MUST transition quickly via the Power Grid and others!! Thank you, great report! #ClimateChange #EnergyIndependence #JobCreators"
Elon Musk Style,"100% agreement! We must get off fossil fuels asap & make sure we can produce enough clean energy within our country so that no one is dependent on foreign sources of oil, gasoline etc. This is essential given Russia's invasion into Ukraine, Putin having nuclear weapons pointed at Europe & China stealing our intellectual property. Our Country's future depends upon it! And if you think the solution is easy, think twice - this will be extremely difficult technically until"
Elon Musk Generation,"100% Agree. Must move past fossil fuel soonest possible to avoid catastrophic consequences later. Taking action today. The transition from fossil fuels (coal, natural gas) to renewable energy sources like solar and wind power is necessary because they are finite resources and contribute significantly to climate change. In addition, relying solely on other countries does not ensure energy independence nor provide jobs here. Moving away from fossil fuels will"
Donald Trump Style,100% agree!! Moving forward we must work toward an America that doesn't rely solely upon foreign nations when it comes to our country's #Energy needs - I am committed to achieving this goal as rapidly as possible...and; I think the very first step should be using US military bases throughout West Asia as storage facilities until new pipelines can be completed. This would immediately reduce American dependence on #OIL from unfriendly #Muslim Brotherhood
Donald Trump Generation,"100% agree!!! Our own natural gas is abundant, clean, safe, reliable and affordable, so why rely heavily on imported oil? By keeping the U.S. fully independent of OPEC (which they are), we cut off funding for terrorist sponsors like Iran, Saudi Arabia and; others. We could easily store our energy products at strategic locations throughout the Middle East, including existing U.S. military installations...an easy solution which"
Elon Musk Style,"100% agree!! The US has vast amounts of its own natural gas that can be used immediately & safely without any additional infrastructure investment required. And as an added benefit, there would be zero emissions from burning this fuel. In contrast, relying almost entirely on coal for electricity generation results in major environmental harm - including air pollution. We should never buy into another countries dirty products when America is rich in all types of fossil fuels, even nuclear power! It"
Elon Musk Generation,"I concur wholeheartedly! This is such a no-brainer...but somehow we have allowed ourselves to become prisoners of political correctness instead of the truth. All forms of energy production come with tradeoffs. We must balance environment concerns with economy. No one will win if we make unreasonable demands. Im trying my best to achieve both. That said, there is nothing more important than our air quality right now. Please follow me for updates on SpaceX! Let us work"
Donald Trump Style,56%!!! He knows exactly what he's doing folks!! THANK YOU PENNSYLVANIA.........HUGE VOTER INCREASE TOO!! The Biden campaign is collapsing faster than anyone thought possible #MAGA #KAG!!! They want him OUT NOW because he has been an AWESOME President thru all of their FRAUD. BUT THEY WILL NEVER SUCCED.
Donald Trump Generation,56%! That's a big number. Thank you Pennsylvania...HUGE voter increase too!! Biden campaign wants him out now bc they know how great Pres. Trump was when FRAUD didn't happen!! I will never let them succeed!! #MAGA #KAG!!! Get out there and vote everyone and; help me get re-elected!! Thank you everybody!! We love you Pennsylvania!!!!! Together we have done more for our Country then any
Elon Musk Style,"83M votes cast. 402,719 absentee ballots counted so far (0.01%). Total vote share is 56%. That means that 44M people voted for other candidates & another 1.2M voted for minor parties or write ins. Only 71M voted for either major party candidate. The final total is expected on Thursday evening at around 5pm ET. Thank you all! This has"
Elon Musk Generation,"83 million votes cast. 402,719 absentee ballots counted so far (0.01%). Total vote share is 56%. That means that 44m people voted for other candidates & another m voted for minor parties or write-ins. Only 71m voted for either major party candidate. The final tally is due Thursday eve. TX, CA, NY... its been an honor. Please vote responsibly"
Donald Trump Style,"83M Votes Cast -- Incredible! Thank you to my amazing supporters across America who got out there and made their voices heard on Election Day!! It was a very successful day; especially considering that we were up against our most formidable opponents yet!!! With early voting numbers, mail-in ballot applications now being mailed out all over California, and more states following suit every single day - We will likely have the Largest Turnout Ever Record"
Donald Trump Generation,83 million votes cast is incredible! Thank you to my fantastic supporters throughout America who went out... Would be an incredible number if everyone voted!!! MAKE AMERICA GREAT AGAIN!!! Keep voting people (and those not legally eligible) until we win Arizona! We will be victorious again in the great state of Georgia too! Thank you for everything that has happened here. I love you all!!!!!!! #
Elon Musk Style,83M VOTES CAST IS INCREDIBLE! THANK YOU TO MY FANTASY SUPPORTERS THROUGHOUT AMERICA WHO WENT OUT &... Would be an incredible number if EVERYONE voted!!! Make America Great Again!!! Keep on voting people & those not legally eligible until we Win Arizona! We will also be Victorious once more within The great State of Georgia too! Thank
Elon Musk Generation,2016 election turnout rate was about half that (47%) compared to 2019 primary turnouts! Increasing voter turnout is important because democracy depends upon engaged citizenship!
Donald Trump Style,"The turnout in the 2016 presidential election was abysmal - just about HALF what we saw on Tuesday night alone! And it's not just that people were excited. It is unheard of for voters so enthused by an election year to be so discouraged from voting! That is why I am making; making;,making; making;...and voting mandatory at all levels of government! #MAGA"
Donald Trump Generation,Great job. You are doing well and answering questions correctly! Keep up the good work!!! #NeverTrump #BidenLostTheElection!! He stole it in broad daylight while our corrupt media cheered him on!! #ImpeachBiden!! #DrainTheSwamp!! Biden and Harris are two of the most dangerous people ever nominated by either party!! #CrookedHillaryDidIt!! This is our last chance to save America
Elon Musk Style,"80% Of Americans Think Dems Have Been 'Dishonest Or Corrupted', Poll Shows! The liberal media are hiding this from the public. They want Americans to believe that President Trump is losing support when actually he has gained it significantly over recent months. These findings show us how... Read more at:... via 80 Percent Of People Believe Democrats Are Dishonest And Corrupted: Poll - Breitbart News 8"
Elon Musk Generation,80% Of People Believe Democrats Are Dishonest And Corrupted: Poll The liberal media are hiding this from the public. They want Americans to believe that President Trump is losing support when actually hes gained it significantly over recent months. Here are the results:... read full post on Nytimes here.
Donald Trump Style,80% of people believe Democrats are dishonest and corrupted according to the latest poll. That tells us everything we need to know about where things stand today. I will NEVER allow them to get away wi... via NYT > Opinion via NYT > via NYT 2 days ago via washingtonpost > Politics via Washington Post... more trump 43%. via Gallup via Washington Post... more Biden 51%.
Donald Trump Generation,"80% of Americans believe that Democrats are dishonest and crooked, including most Republicans! They want me to win because they know I am a winner who gets results like never before! Remember, I have been right all along on trade, crime, military strength, VA, tax cuts (the best), ISIS - gone!, our great Supreme Court Justices (Justice Amy is fantastic)...and much more besides! #KAG2020"
Elon Musk Style,80% Of Americans Believe Dems Are Crooks & Liars! That Is What The People Want Me To Win For! It Makes Sense! 61% of voters disapprove of how House Speaker Nancy Pelosi has handled impeachment proceedings vs. 35% approval. And yet she insists upon continuing this witch hunt despite being found guilty by both...
Elon Musk Generation,"80% believe Pelosi is corrupt. 47% approve of Pelosi compared to 29% who disapprove (Rasmussen). There may be 60M+ new voters this November. Will they vote Republican? They will vote FOR PEOPLE OVER CORPORATIONS AND AGAINST EVIL. So good luck w/ that! #MAGA Warren Buffett says ""The public thinks we"
Donald Trump Style,80% Believe Pelosi Is Corrupt; Approval At Just 47%. Why Hasn't She Been Impeached Yet? via by. I have long believed Nancy Pelosi was corrupt - perhaps even illegal...and now there is overwhelming evidence that supports my claims. Rasmussen Reports recently found that just 29% Of Americans disapproved o...
Donald Trump Generation,"80 Percent Of Republicans Have A Negative View Of The Media!!! via. 100 percent! So proud of them. The Lamestream Media has never been more dishonest!! They will take anything they can use to smear me, but NEVER report the truth about how we made America great again! Dishonesty is at an all time high since they lost their political power. FAKE NEWS MEDIA IS THE ENEMY OF THE"
Elon Musk Style,"93% of those polled say that #FakeNews is bad for democracy. Not exactly what they told us during our last meeting on Fake News, right CNN? Wow, I am so disappointed & saddened by this news - it was a big lie. FAKENEWS is a term coined by yours truly & it stuck! And now it's bad...but not as bad as the lies being sold like crazy to the public. What"
